// $r =  8 relative value
// $w = 16 word
// $v =  8 value
// $o =  8 relative offset
// $j =  8 relative jump
// $a = 16 address
00	nop
01$w	ld bc,**
02	ld (bc),a
03	inc bc
04	inc b
05	dec b
06$v	ld b,*
07	rlca
08	ex af,af'
09	add hl,bc
0a	ld a,(bc)
0b	dec bc
0c	inc c
0d	dec c
0e$v	ld c,*
0f	rrca
10$j	djnz *
11$w	ld de,**
12	ld (de),a
13	inc de
14	inc d
15	dec d
16$v	ld d,*
17	rla
18$j	jr *
19	add hl,de
1a	ld a,(de)
1b	dec de
1c	inc e
1d	dec e
1e$v	ld e,*
1f	rra
20$j	jr nz,*
21$w	ld hl,**
22$a	ld (**),hl
23	inc hl
24	inc h
25	dec h
26$v	ld h,*
27	daa
28$j	jr z,*
29	add hl,hl
2a$a	ld hl,(**)
2b	dec hl
2c	inc l
2d	dec l
2e$v	ld l,*
2f	cpl
30$j	jr nc,*
31$w	ld sp,**
32$a	ld (**),a
33	inc sp
34	inc (hl)
35	dec (hl)
36$v	ld (hl),*
37	scf
38$j	jr c,*
39	add hl,sp
3a$a	ld a,(**)
3b	dec sp
3c	inc a
3d	dec a
3e$v	ld a,*
3f	ccf
40	ld b,b
41	ld b,c
42	ld b,d
43	ld b,e
44	ld b,h
45	ld b,l
46	ld b,(hl)
47	ld b,a
48	ld c,b
49	ld c,c
4a	ld c,d
4b	ld c,e
4c	ld c,h
4d	ld c,l
4e	ld c,(hl)
4f	ld c,a
50	ld d,b
51	ld d,c
52	ld d,d
53	ld d,e
54	ld d,h
55	ld d,l
56	ld d,(hl)
57	ld d,a
58	ld e,b
59	ld e,c
5a	ld e,d
5b	ld e,e
5c	ld e,h
5d	ld e,l
5e	ld e,(hl)
5f	ld e,a
60	ld h,b
61	ld h,c
62	ld h,d
63	ld h,e
64	ld h,h
65	ld h,l
66	ld h,(hl)
67	ld h,a
68	ld l,b
69	ld l,c
6a	ld l,d
6b	ld l,e
6c	ld l,h
6d	ld l,l
6e	ld l,(hl)
6f	ld l,a
70	ld (hl),b
71	ld (hl),c
72	ld (hl),d
73	ld (hl),e
74	ld (hl),h
75	ld (hl),l
76	halt
77	ld (hl),a
78	ld a,b
79	ld a,c
7a	ld a,d
7b	ld a,e
7c	ld a,h
7d	ld a,l
7e	ld a,(hl)
7f	ld a,a
80	add a,b
81	add a,c
82	add a,d
83	add a,e
84	add a,h
85	add a,l
86	add a,(hl)
87	add a,a
88	adc a,b
89	adc a,c
8a	adc a,d
8b	adc a,e
8c	adc a,h
8d	adc a,l
8e	adc a,(hl)
8f	adc a,a
90	sub b
91	sub c
92	sub d
93	sub e
94	sub h
95	sub l
96	sub (hl)
97	sub a
98	sbc a,b
99	sbc a,c
9a	sbc a,d
9b	sbc a,e
9c	sbc a,h
9d	sbc a,l
9e	sbc a,(hl)
9f	sbc a,a
a0	and b
a1	and c
a2	and d
a3	and e
a4	and h
a5	and l
a6	and (hl)
a7	and a
a8	xor b
a9	xor c
aa	xor d
ab	xor e
ac	xor h
ad	xor l
ae	xor (hl)
af	xor a
b0	or b
b1	or c
b2	or d
b3	or e
b4	or h
b5	or l
b6	or (hl)
b7	or a
b8	cp b
b9	cp c
ba	cp d
bb	cp e
bc	cp h
bd	cp l
be	cp (hl)
bf	cp a
c0	ret nz
c1	pop bc
c2$a	jp nz,**
c3$a	jp **
c4$a	call nz,**
c5	push bc
c6$v	add a,*
c7	rst 00h
c8	ret z
c9	ret
ca$a	jp z,**
cb	-BITS
cc$a	call z,**
cd$a	call **
ce$v	adc a,*
cf	rst 08h
d0	ret nc
d1	pop de
d2$a	jp nc,**
d3$v	out (*),a
d4$a	call nc,**
d5	push de
d6$v	sub *
d7	rst 10h
d8	ret c
d9	exx
da$a	jp c,**
db$v	in a,(*)
dc$a	call c,**
dd	-IX
de$v	sbc a,*
df	rst 18h
e0	ret po
e1	pop hl
e2$a	jp po,**
e3	ex (sp),hl
e4$a	call po,**
e5	push hl
e6$v	and *
e7	rst 20h
e8	ret pe
e9	jp (hl)
ea$a	jp pe,**
eb	ex de,hl
ec$a	call pe,**
ee$v	xor *
ef	rst 28h
f0	ret p
f1	pop af
f2$a	jp p,**
f3	di
f4$a	call p,**
f5	push af
f6$v	or *
f7	rst 30h
f8	ret m
f9	ld sp,hl
fa$a	jp m,**
fb	ei
fc$a	call m,**
fe$v	cp *
ff	rst 38h

ed40	in b,(c)
ed41	out (c),b
ed42	sbc hl,bc
ed43$a	ld (**),bc
ed44	neg
ed45	retn
ed46	im 0
ed47	ld i,a
ed48	in c,(c)
ed49	out (c),c
ed4a	adc hl,bc
ed4b$a	ld bc,(**)
ed4c	neg
ed4d	reti
ed4e	im 0/1
ed4f	ld r,a
ed50	in d,(c)
ed51	out (c),d
ed52	sbc hl,de
ed53$a	ld (**),de
ed54	neg
ed55	retn
